Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Nebraska,1994,$        4371734,$        4026566,$        3990927,$        3886825,$         674861,$              0,$         600480,$         557826,$          28081,$         315788,$         296542,$          19246,$          64769,$          63774
Nebraska,1995,$        4614629,$        4194950,$        4250378,$        4093751,$         728081,$              0,$         649903,$         568288,$          28511,$         327786,$         316492,$          11294,$          75702,$          73520
Nebraska,1996,$        4998908,$        4535936,$        4489725,$        4320072,$         782010,$              0,$         690442,$         640526,$          38968,$         371446,$         361348,$          10098,$          84541,$          83105
Nebraska,1997,$        5537331,$        4740329,$        4801745,$        4547500,$         831371,$              0,$         743046,$         676948,$          32705,$         410588,$         385179,$          25409,$          82330,$          80382
Nebraska,1998,$        5635696,$        4829306,$        4753513,$        4564582,$         896954,$              0,$         803505,$         723237,$          38189,$         215427,$         190883,$          24544,$          74669,$          72955
Nebraska,1999,$        5575535,$        5088969,$        5183613,$        4961708,$         949241,$              0,$         845437,$         768270,$          42099,$         235502,$         223088,$          12414,$          80970,$          79643
Nebraska,2000,$        6184982,$        5705724,$        5772418,$        5536622,$        1007503,$              0,$         890635,$         797361,$          47635,$         246833,$         241911,$           4922,$          88376,$          84669
Nebraska,2001,$        5943922,$        5874524,$        6111217,$        5842608,$        1079464,$              0,$         968754,$         850864,$          53624,$         280421,$         277115,$           3306,$         103056,$         101632
Nebraska,2002,$        6001930,$        5987028,$        6536970,$        6219242,$        1115849,$              0,$         990342,$         911541,$          61080,$         273711,$         271680,$           2031,$         102477,$         101155
Nebraska,2003,$        7285210,$        6749800,$        6823849,$        6493783,$        1148868,$              0,$        1012383,$         949042,$          62699,$         313385,$         311750,$           1635,$         121846,$         120928
Nebraska,2004,$        8348696,$        7370055,$        6974335,$        6640045,$        1231004,$              0,$        1088267,$         985408,$          69541,$         330152,$         328436,$           1716,$         127377,$         126275
Nebraska,2005,$        8739537,$        7815627,$        7239796,$        6899838,$        1302461,$              0,$        1148586,$        1017137,$          79748,$         409178,$         407063,$           2115,$         203509,$         201655
Nebraska,2006,$        9109719,$        8051661,$        7708701,$        7364273,$        1379287,$              0,$        1206119,$        1105533,$         105783,$         569334,$         567550,$           1784,$         349584,$         348644
Nebraska,2007,$        9792790,$        8186788,$        7834295,$        7435578,$        1412671,$              0,$        1219073,$        1034693,$         116063,$         583575,$         582282,$           1293,$         358292,$         357853
Nebraska,2008,$        8384577,$        8357739,$        8460595,$        8024395,$        1602123,$              0,$        1381932,$        1180847,$         124795,$         576653,$         574669,$           1984,$         337359,$         336134
Nebraska,2009,$        7248209,$        8403141,$        9110284,$        8548494,$        1753132,$              0,$        1519170,$        1238259,$         111903,$         577343,$         575367,$           1976,$         329329,$         328844
Nebraska,2010,$       10221332,$        8834529,$        9456753,$        8711162,$        1786349,$              0,$        1537426,$        1319497,$         119817,$         619267,$         617687,$           1580,$         361047,$         360355
